product_code,product_name,price,availability,description,category,brand,image_url,stock_status,scrape_status,error_message,location_Local,location_Other,location_Branch
14676.0,AWP MESH PANEL 2400X1200/100X100/4MM*,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14677.0,AWP BIRD NETTING 90/13/0.56 50M **,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14678.0,AWP BIRD NETTING 120/13/0.56 50M **,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14683.0,AWP CHICKEN NETTING 180/50/1.0 50M ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
14958.0,BB NIPPLE 360 LUBING A8106 ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15154.0,KONGS BETTA PELLET 30G ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
1523.0,ZOETIS LEPTOSHIELD 100ML ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15232.0,KONGS 37 ECOSTYLE 21L RECTANGULAR AQUA##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
1531.0,ZOETIS ULTRAVAC 5IN1 100ML **@@,,In Stock (972 available),,,,,In Stock,success,,208,764,Sydney
1532.0,ZOETIS ULTRAVAC 5IN1 50ML **@@,,In Stock (1025 available),,,,,In Stock,success,,201,824,Sydney
1533.0,,,,,,,,,success,,,,Sydney
1544.0,ZOETIS GLANVAC 6S B12 500ML **@@,,In Stock (218 available),,,,,In Stock,success,,17,201,Sydney
15463.0,IO TICK OFF POUR ON 5LTR (FLUAZURON) **,,In Stock (155 available),,,,,In Stock,success,,0,155,Sydney
1549.0,,,,,,,,,success,,,,Sydney
1550.0,,,,,,,,,success,,,,Sydney
1551.0,,,,,,,,,success,,,,Sydney
1564.0,,,,,,,,,success,,,,Sydney
1565.0,,,,,,,,,success,,,,Sydney
1571.0,ZOETIS VACCINATOR QUICKSHOT 5ML **,,In Stock (250 available),,,,,In Stock,success,,4,246,Sydney
15721.0,PHARMACHEM SWAT 500ML **@@,,In Stock (438 available),,,,,In Stock,success,,46,392,Sydney
15722.0,GALL GUDGEON BRACKET 25MM ANGLE !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15792.0,OTWAY STROLLER HOUNDSTOOTH BLK/WHT 6 ##,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
1584.0,BLUND BLACK RUBBER BOOTS 001 SIZE 10 #,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
1585.0,BLUND BLACK RUBBER BOOTS 001 SIZE 11 #,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
1586.0,BLUND BLACK RUBBER BOOTS 001 SIZE 12 #,,In Stock (4 available),,,,,In Stock,success,,0,4,Sydney
15874.0,MUSTAD CONCORDE ALUM XTRA H 8 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15875.0,MUSTAD CONCORDE ALUM XTRA S/C H 4 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15876.0,MUSTAD CONCORDE ALUM XTRA S/C H 5 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
15877.0,MUSTAD CONCORDE ALUM XTRA S/C H 6 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
